SECTOR,NOMBRE_SECTOR,SUBSECTOR,NOMBRE_SUBSECTOR,ESTABLECIMIENTOS,PERSONAL_OCUPADO,TASA_EXPLOTACION,TASA_GANANCIA_NETA,HRS_PARA_SALARIO,HRS_PARA_INFRAESTRUCTURA,HRS_PLUSVALIA_NETA,COSTO_INFRAESTRUCTURA_MDP,PLUSVALIA_NETA_MDP
48-49,"Transportes, correos y almacenamiento",492,Servicios de mensajería y paquetería,2066,98959,108.27%,45.27%,3.84,0.63,3.53,1733.43,9720.14
51,Información en medios masivos,516,Radio y televisión y provisión de contenido,1698,44159,594.62%,166.56%,1.15,0.21,6.64,766.72,24011.49
31-33,Industrias manufactureras,331,Industrias metálicas básicas,1605,149031,614.92%,61.76%,1.12,0.48,6.4,15626.23,207503.65
51,Información en medios masivos,512,"Industria fílmica y del video, e industria del sonido",1537,40604,361.69%,147.67%,1.73,0.17,6.1,685.77,24334.33
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza (Solo Pesca y Acuicultura)",115,Servicios relacionados con las actividades agropecuarias y forestales,1511,23314,185.95%,54.26%,2.8,0.56,4.65,463.86,3877.7
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",562,Manejo de residuos y servicios de remediación,1475,37814,235.05%,50.38%,2.39,0.84,4.77,1884.73,10647.2
31-33,Industrias manufactureras,335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",1222,278351,258.39%,94.47%,2.23,0.21,5.56,5817.67,153436.61
48-49,"Transportes, correos y almacenamiento",493,Servicios de almacenamiento,1188,31291,267.6%,37.94%,2.18,0.81,5.01,1687.11,10387.91
51,Información en medios masivos,513,"Edición de periódicos, revistas, libros, directorios, software y otros materiales",1118,39333,113.58%,63.59%,3.75,0.19,4.07,311.47,6690.93
31-33,Industrias manufactureras,334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",898,453299,95.97%,49.14%,4.08,0.2,3.71,5506.6,100599.08
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",712,"Museos, sitios históricos, zoológicos y similares",889,11406,120.51%,21.01%,3.63,0.85,3.52,306.2,1272.07
48-49,"Transportes, correos y almacenamiento",487,Transporte turístico,853,11368,377.18%,63.65%,1.68,0.89,5.43,705.56,4293.03
46,Comercio al por menor,469,"Intermediación de comercio al por menor, y comercio al por menor a través de catálogos impresos, televisión y similares",740,19672,235.64%,173.76%,2.38,0.08,5.53,80.19,5415.54
