SECTOR,NOMBRE_SECTOR,SUBSECTOR,RAMA,NOMBRE_RAMA,ESTABLECIMIENTOS,PERSONAL_OCUPADO,TASA_EXPLOTACION,TASA_GANANCIA_NETA,HRS_PARA_SALARIO,HRS_PARA_INFRAESTRUCTURA,HRS_PLUSVALIA_NETA,COSTO_INFRAESTRUCTURA_MDP,PLUSVALIA_NETA_MDP
31-33,Industrias manufactureras,332,3323,Fabricación de estructuras metálicas y productos de herrería,63005,198249,169.1%,54.32%,2.97,0.45,4.58,2622.01,26898.29
46,Comercio al por menor,466,4664,Comercio al por menor de artículos usados,56667,79245,311.32%,53.31%,1.94,0.61,5.44,268.2,2391.57
46,Comercio al por menor,468,4682,"Comercio al por menor de partes y refacciones para automóviles, camionetas y camiones",55752,226504,328.25%,91.17%,1.87,0.39,5.74,4539.1,66930.09
46,Comercio al por menor,466,4663,Comercio al por menor de artículos para la decoración de interiores,51397,118133,263.2%,80.37%,2.2,0.43,5.37,880.89,11009.91
43,Comercio al por mayor,434,4342,Comercio al por mayor de materias primas para la industria,51167,421977,578.63%,46.85%,1.18,1.02,5.8,50962.3,289211.68
46,Comercio al por menor,465,4651,Comercio al por menor de artículos de perfumería y joyería,48759,117176,300.71%,130.62%,2,0.2,5.8,689.39,19960.91
46,Comercio al por menor,466,4662,"Comercio al por menor de mobiliario, equipo y accesorios de cómputo, teléfonos y otros aparatos de comunicación",45969,131527,318.95%,155.05%,1.91,0.23,5.86,1114.34,28790.92
62,Servicios de salud y de asistencia social,621,6213,Otros consultorios para el cuidado de la salud,44421,92399,216.15%,53.06%,2.53,0.59,4.88,1077.04,8870
46,Comercio al por menor,462,4621,Comercio al por menor en tiendas de autoservicio,44115,777109,213.62%,73.14%,2.55,0.38,5.07,19537.26,260448.43
46,Comercio al por menor,463,4633,Comercio al por menor de calzado,43553,118257,225.5%,99.27%,2.46,0.24,5.3,853.28,18690.13
31-33,Industrias manufactureras,314,3149,"Fabricación de otros productos textiles, excepto prendas de vestir",43333,83389,134.81%,45.26%,3.41,0.39,4.2,485.85,5255.97
46,Comercio al por menor,466,4661,Comercio al por menor de muebles para el hogar y otros enseres domésticos,42389,150157,268.98%,97.51%,2.17,0.31,5.52,1822.69,32435.38
31-33,Industrias manufactureras,315,3152,Confección de prendas de vestir,40251,261528,104.9%,48.58%,3.9,0.26,3.83,1684.89,24720.33
46,Comercio al por menor,465,4652,Comercio al por menor de artículos para el esparcimiento,40072,104864,363.98%,125.97%,1.72,0.27,6,1226.16,26914.07
81,Otros servicios excepto actividades gubernamentales,812,8122,Lavanderías y tintorerías,38859,81600,236.5%,50.26%,2.38,0.59,5.03,837.04,7096.59
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,531,5311,Alquiler sin intermediación de bienes raíces,37204,104732,534.82%,30.63%,1.26,1.11,5.63,3927.65,19820.39
31-33,Industrias manufactureras,321,3219,Fabricación de otros productos de madera,35989,108271,176.66%,60.33%,2.89,0.41,4.7,1119.04,12893.97
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",713,7139,Otros servicios recreativos,34184,149421,141.88%,16.68%,3.31,1.11,3.58,4016.34,12987.41
54,"Servicios profesionales, científicos y técnicos",541,5411,Servicios legales,33351,140078,263.36%,87.42%,2.2,0.4,5.4,1655.58,22149.43
31-33,Industrias manufactureras,312,3121,Industria de las bebidas,32960,211366,672.68%,195.67%,1.04,0.19,6.77,6285.41,221820.43
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",561,5614,"Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",32797,137725,203.71%,48.26%,2.63,0.84,4.53,3507.53,18961.38
81,Otros servicios excepto actividades gubernamentales,811,8112,Reparación y mantenimiento de equipo electrónico y de equipo de precisión,31571,62619,299.16%,101.91%,2,0.36,5.64,433.14,6782.51
46,Comercio al por menor,468,4684,"Comercio al por menor de combustibles, aceites y grasas lubricantes",31192,310479,473.0%,92.91%,1.4,0.4,6.21,11829.29,185314.84
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,722,7224,"Centros nocturnos, bares, cantinas y similares",30036,120337,221.93%,77.79%,2.49,0.31,5.2,816.8,13632.35
31-33,Industrias manufactureras,337,3371,"Fabricación de muebles, excepto de oficina y estantería",29369,136748,112.75%,44.56%,3.76,0.42,3.82,1517.93,13887.83
54,"Servicios profesionales, científicos y técnicos",541,5419,"Otros servicios profesionales, científicos y técnicos",26117,68005,307.09%,72.83%,1.97,0.53,5.51,799.68,8367.63
46,Comercio al por menor,463,4631,"Comercio al por menor de productos textiles, excepto ropa",24937,58134,277.08%,29.15%,2.12,1.61,4.26,2922.48,7715.56
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,721,7211,"Hoteles, moteles y similares",23710,424965,198.93%,18.93%,2.68,0.99,4.34,17263.08,75770.67
