SECTOR,NOMBRE_SECTOR,RAMA,NOMBRE_RAMA,ESTABLECIMIENTOS,PERSONAL_OCUPADO,PLUSVALIA_NETA_MDP,TASA_EXPLOTACION,TASA_GANANCIA_NETA,HRS_PARA_SALARIO,HRS_PARA_GASTOS_E_IMPUESTOS,HRS_PLUSVALIA_PURA
51,Información en medios masivos,5174,Operadores de servicios de telecomunicaciones vía satélite,182,4526,763.66,115.28%,16.88%,1.07,5.7,1.23
61,Servicios educativos,6112,Escuelas de educación técnica superior,814,9180,700.25,81.84%,26.03%,2.89,2.75,2.36
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",7115,"Artistas, escritores y técnicos independientes",1944,4618,539.09,346.92%,50.1%,1.27,2.31,4.41
62,Servicios de salud y de asistencia social,6242,"Servicios comunitarios de alimentación, refugio y emergencia",1654,8878,529.89,116.62%,21.64%,2.17,3.3,2.53
21,Minería,2121,Minería de carbón mineral,86,5146,452.12,55.37%,1.95%,0.81,6.74,0.45
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,7212,Campamentos y albergues recreativos,274,3622,391.05,100.2%,15.91%,2.06,3.87,2.06
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",7114,"Agentes y representantes de artistas, deportistas y similares",124,1464,272.21,180.05%,27.54%,1.29,4.39,2.32
52,Servicios financieros y de seguros,5241,Compañías de seguros y fianzas,390,1048,256.38,185.85%,44.56%,2,2.28,3.72
48-49,"Transportes, correos y almacenamiento",4879,Otro transporte turístico,46,478,236.31,415.07%,22.89%,0.61,4.87,2.52
62,Servicios de salud y de asistencia social,6231,"Residencias con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales",434,2710,120.53,75.94%,17.25%,2.83,3.03,2.15
31-33,Industrias manufactureras,3122,Industria del tabaco,96,1450,97.54,44.67%,8.02%,2.73,4.05,1.22
62,Servicios de salud y de asistencia social,6243,"Servicios de capacitación para el trabajo para personas desempleadas, subempleadas o con discapacidad",164,872,64.73,141.56%,29.32%,2.27,2.51,3.22
62,Servicios de salud y de asistencia social,6216,Servicios de enfermería a domicilio,556,2478,52.35,9.46%,3.74%,4.08,3.53,0.39
62,Servicios de salud y de asistencia social,6222,Hospitales psiquiátricos y para el tratamiento por adicción,170,1868,35.98,12.84%,5.0%,4.03,3.45,0.52
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza (Solo Pesca y Acuicultura)",1153,Servicios relacionados con el aprovechamiento forestal,46,370,15.22,56.07%,8.51%,1.29,5.99,0.72
52,Servicios financieros y de seguros,5232,Bolsa de valores,14,1076,-3669.5,-468.88%,-44.67%,6.56,32.18,-30.74
23,Construcción,2379,Otras construcciones de ingeniería civil,382,128230,-8358.34,-21.62%,-1.88%,0.74,7.42,-0.16
22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",2213,"Captación, tratamiento y suministro de agua",5844,269806,-21896.71,-29.62%,-3.93%,3.32,5.67,-0.98
52,Servicios financieros y de seguros,5242,"Servicios relacionados con los seguros y las fianzas, y administración de fondos para el retiro",9786,128562,-34254.97,-145.34%,-36.16%,3.78,9.71,-5.49
52,Servicios financieros y de seguros,5239,Asesoría en inversiones y otros servicios relacionados con la intermediación bursátil,280,6026,-45988.54,-1750.61%,-86.1%,4.59,83.68,-80.27
31-33,Industrias manufactureras,3251,Fabricación de productos químicos básicos,1108,82020,-224743.41,-723.49%,-19.58%,0.36,10.23,-2.58
52,Servicios financieros y de seguros,5211,Banca central,2,7900,-442692.26,-7169.65%,-96.82%,,,
52,Servicios financieros y de seguros,5231,"Casas de bolsa, casas de cambio y centros cambiarios",7530,10672,-796807.58,-7970.86%,-99.01%,17.37,1375.05,-1384.42
52,Servicios financieros y de seguros,5222,Instituciones financieras de fomento económico,42,50038,-1002645.07,-3254.61%,-96.77%,,,
31-33,Industrias manufactureras,3241,Fabricación de productos derivados del petróleo y del carbón,636,74438,-1307373.43,-2846.51%,-33.81%,0.17,12.59,-4.76
52,Servicios financieros y de seguros,5221,Banca múltiple,90,562174,-3285225.61,-1015.66%,-92.04%,1968.88,18036.29,-19997.17
48-49,"Transportes, correos y almacenamiento",4911,Servicios postales,64,,,,,,,
48-49,"Transportes, correos y almacenamiento",4869,Transporte por ductos de otros productos,16,,,,,,,
48-49,"Transportes, correos y almacenamiento",4862,Transporte de gas natural por ductos,86,,,,,,,
48-49,"Transportes, correos y almacenamiento",4821,Transporte por ferrocarril,20,,,,,,,
31-33,Industrias manufactureras,3333,Fabricación de maquinaria y equipo para el comercio y los servicios,752,,,,,,,
21,Minería,2111,Extracción de petróleo y gas,68,,,,,,,
