SECTOR,NOMBRE_SECTOR,SUBSECTOR,NOMBRE_SUBSECTOR,ESTABLECIMIENTOS,PERSONAL_OCUPADO,PLUSVALIA_TOTAL_MDP,TASA_EXPLOTACION,TASA_GANANCIA,HORAS_PARA_EL_TRABAJADOR,HORAS_REGALADAS_AL_PATRON,DEPRECIACION_INFRAESTRUCTURA_MDP
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",562,Manejo de residuos y servicios de remediación,1475,37814,12531.93,235.05%,59.29%,2.39,5.61,1884.73
31-33,Industrias manufactureras,335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",1222,278351,159254.28,258.39%,98.05%,2.23,5.77,5817.67
48-49,"Transportes, correos y almacenamiento",493,Servicios de almacenamiento,1188,31291,12075.02,267.6%,44.11%,2.18,5.82,1687.11
51,Información en medios masivos,513,"Edición de periódicos, revistas, libros, directorios, software y otros materiales",1118,39333,7002.41,113.58%,66.55%,3.75,4.25,311.47
31-33,Industrias manufactureras,334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",898,453299,106105.68,95.97%,51.83%,4.08,3.92,5506.6
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",712,"Museos, sitios históricos, zoológicos y similares",889,11406,1578.27,120.51%,26.06%,3.63,4.37,306.2
48-49,"Transportes, correos y almacenamiento",487,Transporte turístico,853,11368,4998.59,377.18%,74.12%,1.68,6.32,705.56
46,Comercio al por menor,469,"Intermediación de comercio al por menor, y comercio al por menor a través de catálogos impresos, televisión y similares",740,19672,5495.73,235.64%,176.33%,2.38,5.62,80.19
51,Información en medios masivos,519,"Bibliotecas, archivos, portales de búsqueda en la red y otros servicios de suministro de información",379,1919,595.25,378.57%,152.82%,1.67,6.33,20.98
55,Dirección y administración de grupos empresariales o corporativos,551,Dirección y administración de grupos empresariales o corporativos,339,124595,493886.1,614.89%,324.32%,1.12,6.88,4984.51
31-33,Industrias manufactureras,324,Fabricación de productos derivados del petróleo y del carbón,318,44927,96798.4,394.28%,46.09%,1.62,6.38,18139.9
48-49,"Transportes, correos y almacenamiento",483,Transporte por agua,267,6631,-297.36,-21.36%,-0.51%,10.17,-2.17,4461.14
43,Comercio al por mayor,437,Intermediación de comercio al por mayor,190,5089,999.49,199.27%,89.66%,2.67,5.33,120.32
21,Minería,213,Servicios relacionados con la minería,158,20957,16094.59,442.07%,56.86%,1.48,6.52,3058.64
51,Información en medios masivos,518,"Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",144,13372,5366.62,196.88%,155.35%,2.69,5.31,73.58
48-49,"Transportes, correos y almacenamiento",481,Transporte aéreo,113,37216,37804.67,206.92%,135.93%,2.61,5.39,1697.3
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,533,"Servicios de alquiler de marcas registradas, patentes y franquicias",54,721,947.87,955.51%,145.19%,0.76,7.24,41.85
48-49,"Transportes, correos y almacenamiento",486,Transporte por ductos,51,5057,21502.89,947.02%,17.27%,0.76,7.24,10214.55
21,Minería,211,Extracción de petróleo y gas,34,35163,902678.69,3903.7%,116.82%,0.2,7.8,113284.82
48-49,"Transportes, correos y almacenamiento",491,Servicios postales,32,,,,,,,
48-49,"Transportes, correos y almacenamiento",482,Transporte por ferrocarril,10,,,,,,,
52,Servicios financieros y de seguros,521,Banca central,1,3950,233008.67,7547.41%,2248.82%,0.1,7.9,1006.15
